,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
2,AZ,yes,49.76744186046512,43.72093023255814,-6.04651162790698,9,11
4,CA,yes,72.46963562753037,63.56275303643725,-8.906882591093115,18,18
6,CO,yes,68.47826086956522,56.52173913043478,-11.956521739130437,14,14
7,CT,yes,100.0,100.0,0.0,100,0
9,DC,yes,78.57142857142857,71.42857142857143,-7.142857142857139,28,35
11,FL,yes,62.71186440677966,60.16949152542373,-2.5423728813559308,24,14
13,GA,yes,66.39344262295081,59.83606557377049,-6.5573770491803245,10,16
14,IA,yes,100.0,100.0,0.0,66,0
16,ID,yes,33.333333333333336,33.333333333333336,0.0,16,0
18,IL,yes,65.87301587301587,62.698412698412696,-3.1746031746031775,15,18
20,IN,yes,66.66666666666667,60.0,-6.666666666666671,20,20
21,Invalid ZIP,yes,100.0,100.0,0.0,37,12
23,KS,yes,73.91304347826087,69.56521739130434,-4.34782608695653,17,21
24,KY,yes,100.0,100.0,0.0,100,0
26,LA,yes,45.945945945945944,54.054054054054056,8.108108108108112,10,16
28,MA,yes,64.61538461538461,52.30769230769231,-12.307692307692307,10,6
30,MD,yes,70.29702970297029,69.3069306930693,-0.9900990099009874,14,24
32,MI,yes,61.94690265486726,52.21238938053097,-9.734513274336287,14,16
34,MN,yes,60.3448275862069,51.724137931034484,-8.620689655172413,17,15
36,MO,yes,75.0,65.625,-9.375,6,25
38,MT,yes,50.0,50.0,0.0,50,0
40,NC,yes,53.73134328358209,50.74626865671642,-2.985074626865675,7,7
41,NE,yes,100.0,100.0,0.0,0,50
43,AK,yes,0.0,0.0,0.0,0,0
45,DE,yes,0.0,0.0,0.0,0,0
46,HI,yes,0.0,0.0,0.0,0,0
48,MS,yes,0.0,0.0,0.0,0,0
50,NH,yes,0.0,0.0,0.0,0,0
51,NJ,yes,0.0,0.0,0.0,22,11
53,NY,yes,0.0,0.0,0.0,17,17
54,ND,yes,0.0,0.0,0.0,0,0
56,OK,yes,0.0,0.0,0.0,0,0
58,RI,yes,0.0,0.0,0.0,0,0
59,SC,yes,0.0,0.0,0.0,0,0
62,TN,yes,80.0,80.0,0.0,30,20
64,TX,yes,66.66666666666667,62.34567901234568,-4.320987654320994,16,17
66,UT,yes,76.0,72.0,-4.0,20,12
68,VA,yes,66.66666666666667,60.60606060606061,-6.060606060606062,24,18
69,VT,yes,100.0,100.0,0.0,100,0
71,WA,yes,47.36842105263158,47.36842105263158,0.0,15,10
72,WI,yes,100.0,16.666666666666668,-83.33333333333333,50,0
73,WV,yes,100.0,83.33333333333333,-16.66666666666667,100,0
42,AL,yes,0.0,0.0,0.0,0,0
44,AR,yes,0.0,0.0,0.0,0,0
47,ME,yes,0.0,0.0,0.0,0,0
49,NV,yes,0.0,0.0,0.0,8,13
52,NM,yes,0.0,0.0,0.0,33,33
55,OH,yes,0.0,0.0,0.0,11,15
57,OR,yes,0.0,0.0,0.0,10,12
60,SD,yes,0.0,0.0,0.0,0,0
61,WY,yes,0.0,0.0,0.0,0,0
