,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
0,AK,yes,100.0,100.0,0.0,0,100
2,AL,yes,33.333333333333336,33.333333333333336,0.0,33,0
3,AR,yes,100.0,100.0,0.0,0,0
5,AZ,yes,52.215799614643544,44.50867052023121,-7.7071290944123305,10,11
7,CA,yes,62.36749116607774,52.65017667844523,-9.717314487632514,15,16
9,CO,yes,59.75609756097561,50.30487804878049,-9.451219512195124,13,11
11,CT,yes,88.88888888888889,88.88888888888889,0.0,33,22
13,DC,yes,67.85714285714286,64.28571428571429,-3.5714285714285694,17,32
16,FL,yes,56.325301204819276,48.493975903614455,-7.831325301204821,15,13
18,GA,yes,62.76923076923077,54.76923076923077,-8.0,12,18
19,HI,yes,100.0,100.0,0.0,0,50
20,IA,yes,100.0,100.0,0.0,30,20
22,ID,yes,39.130434782608695,30.434782608695652,-8.695652173913043,4,8
24,IL,yes,60.16949152542373,52.54237288135593,-7.627118644067799,12,12
26,IN,yes,65.9090909090909,61.36363636363637,-4.54545454545454,15,18
28,Invalid ZIP,yes,84.21052631578948,73.6842105263158,-10.526315789473685,26,15
30,KS,yes,61.904761904761905,52.38095238095238,-9.523809523809526,14,15
32,KY,yes,50.0,50.0,0.0,25,25
34,LA,yes,54.61538461538461,47.69230769230769,-6.92307692307692,8,15
36,MA,yes,64.48087431693989,56.830601092896174,-7.6502732240437155,14,13
38,MD,yes,64.72868217054264,60.07751937984496,-4.651162790697683,16,19
40,ME,yes,66.66666666666667,33.333333333333336,-33.333333333333336,0,0
42,MI,yes,57.5,46.875,-10.625,12,13
44,MN,yes,57.142857142857146,48.97959183673469,-8.163265306122454,12,14
46,MO,yes,70.52631578947368,55.78947368421053,-14.736842105263158,10,17
48,MT,yes,50.0,50.0,0.0,25,0
50,MS,yes,0.0,0.0,0.0,0,0
51,NC,yes,0.0,0.0,0.0,6,8
53,SD,yes,0.0,0.0,0.0,0,0
55,NJ,yes,46.08695652173913,36.52173913043478,-9.565217391304351,10,8
57,NM,yes,83.33333333333333,83.33333333333333,0.0,16,50
59,NV,yes,51.265822784810126,39.87341772151899,-11.392405063291136,7,10
61,NY,yes,62.88659793814433,55.41237113402062,-7.47422680412371,13,13
62,Non-US,yes,100.0,100.0,0.0,100,0
64,OH,yes,55.27156549520767,48.88178913738019,-6.389776357827479,9,12
66,OK,yes,75.0,75.0,0.0,25,0
68,OR,yes,49.68944099378882,39.130434782608695,-10.559006211180126,8,14
70,PA,yes,70.58823529411765,67.6470588235294,-2.941176470588246,23,11
71,PR,yes,100.0,100.0,0.0,0,100
72,RI,yes,100.0,100.0,0.0,0,0
74,SC,yes,25.0,25.0,0.0,0,0
76,TN,yes,80.0,73.33333333333333,-6.666666666666671,20,13
78,TX,yes,56.473214285714285,50.44642857142857,-6.026785714285715,12,16
80,UT,yes,65.11627906976744,60.46511627906977,-4.651162790697676,14,14
82,VA,yes,68.6046511627907,66.27906976744185,-2.3255813953488484,17,13
83,VT,yes,100.0,33.333333333333336,-66.66666666666666,33,33
85,WA,yes,44.44444444444444,62.96296296296296,18.51851851851852,9,9
87,WI,yes,76.19047619047619,38.095238095238095,-38.095238095238095,28,9
89,WV,yes,50.0,100.0,50.0,50,0
49,DE,yes,0.0,0.0,0.0,0,0
52,ND,yes,0.0,0.0,0.0,0,0
54,WY,yes,0.0,0.0,0.0,0,0
