,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
1,AL,yes,40.90909090909091,27.272727272727273,-13.636363636363633,0,18
3,AR,yes,50.0,50.0,0.0,0,0
5,AZ,yes,47.27272727272727,43.63636363636363,-3.6363636363636402,10,7
7,CA,yes,66.94214876033058,60.33057851239669,-6.611570247933891,16,21
9,CO,yes,57.291666666666664,47.916666666666664,-9.375,7,14
10,CT,yes,100.0,100.0,0.0,0,0
12,DC,yes,75.0,50.0,-25.0,25,0
14,FL,yes,38.0,36.0,-2.0,18,4
16,GA,yes,57.89473684210526,52.63157894736842,-5.2631578947368425,7,7
18,IA,yes,66.66666666666667,33.333333333333336,-33.333333333333336,0,0
20,ID,yes,42.857142857142854,42.857142857142854,0.0,0,0
22,IL,yes,54.285714285714285,42.857142857142854,-11.42857142857143,5,14
24,IN,yes,22.22222222222222,22.22222222222222,0.0,11,0
26,Invalid ZIP,yes,66.66666666666667,33.333333333333336,-33.333333333333336,0,0
28,KS,yes,53.84615384615385,46.15384615384615,-7.692307692307693,15,23
30,KY,yes,57.142857142857146,42.857142857142854,-14.285714285714292,0,0
32,LA,yes,56.52173913043478,43.47826086956522,-13.043478260869563,8,13
34,MA,yes,55.55555555555556,55.55555555555556,0.0,22,22
36,MD,yes,53.84615384615385,50.0,-3.8461538461538467,7,11
38,ME,yes,40.0,40.0,0.0,0,0
40,MI,yes,53.191489361702125,46.808510638297875,-6.38297872340425,8,14
42,MN,yes,38.23529411764706,20.58823529411765,-17.64705882352941,2,5
44,AK,yes,0.0,0.0,0.0,0,0
46,HI,yes,0.0,0.0,0.0,0,0
48,MO,yes,0.0,0.0,0.0,26,13
50,NE,yes,0.0,0.0,0.0,0,0
52,ND,yes,0.0,0.0,0.0,0,0
54,VT,yes,0.0,0.0,0.0,0,0
56,NM,yes,50.0,50.0,0.0,0,0
58,NV,yes,64.28571428571429,50.0,-14.285714285714292,7,14
60,NY,yes,61.904761904761905,42.857142857142854,-19.04761904761905,14,9
62,OH,yes,60.0,53.333333333333336,-6.666666666666664,8,11
64,OK,yes,75.0,25.0,-50.0,25,0
66,OR,yes,28.94736842105263,26.31578947368421,-2.6315789473684212,5,10
68,PA,yes,41.666666666666664,41.666666666666664,0.0,0,8
70,SC,yes,28.571428571428573,14.285714285714286,-14.285714285714286,0,0
71,SD,yes,100.0,100.0,0.0,0,100
73,TN,yes,14.285714285714286,7.142857142857143,-7.142857142857143,0,7
75,TX,yes,61.64383561643836,54.794520547945204,-6.849315068493155,10,19
77,UT,yes,40.0,33.333333333333336,-6.666666666666664,13,0
79,VA,yes,61.53846153846154,61.53846153846154,0.0,30,7
81,WA,yes,46.15384615384615,38.46153846153846,-7.692307692307693,7,7
83,WI,yes,70.0,60.0,-10.0,0,10
85,WV,yes,66.66666666666667,44.44444444444444,-22.22222222222223,44,0
45,DE,yes,0.0,0.0,0.0,0,0
47,MS,yes,0.0,0.0,0.0,0,22
49,MT,yes,0.0,0.0,0.0,0,50
51,NC,yes,0.0,0.0,0.0,0,6
53,RI,yes,0.0,0.0,0.0,0,0
55,WY,yes,0.0,0.0,0.0,0,0
