,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
0,AK,yes,100.0,100.0,0.0,100,0
1,AL,yes,100.0,100.0,0.0,0,50
2,AR,yes,100.0,100.0,0.0,50,0
4,AZ,yes,90.0,85.0,-5.0,18,31
6,CA,yes,87.96296296296296,77.77777777777777,-10.18518518518519,12,32
8,CO,yes,90.9090909090909,81.81818181818181,-9.090909090909093,22,9
10,CT,yes,80.0,80.0,0.0,0,60
11,DC,yes,100.0,100.0,0.0,29,35
14,FL,yes,77.27272727272727,72.72727272727273,-4.5454545454545325,9,27
15,GA,yes,100.0,100.0,0.0,22,44
16,HI,yes,100.0,100.0,0.0,0,100
18,IA,yes,50.0,50.0,0.0,0,50
20,ID,yes,75.0,75.0,0.0,0,25
22,IL,yes,82.75862068965517,79.3103448275862,-3.448275862068968,6,31
23,IN,yes,100.0,100.0,0.0,0,50
25,Invalid ZIP,yes,85.71428571428571,71.42857142857143,-14.285714285714278,14,42
26,KS,yes,100.0,100.0,0.0,0,0
28,LA,yes,100.0,100.0,0.0,0,0
29,MA,yes,100.0,100.0,0.0,12,29
30,MD,yes,100.0,10.0,-90.0,20,50
31,ME,yes,100.0,90.0,-10.0,0,0
33,MI,yes,80.0,20.0,-60.0,10,10
35,MN,yes,88.23529411764706,17.647058823529413,-70.58823529411765,17,35
37,MO,yes,66.66666666666667,33.333333333333336,-33.333333333333336,33,0
39,MT,yes,85.71428571428571,14.285714285714286,-71.42857142857142,14,0
40,NC,yes,100.0,85.71428571428571,-14.285714285714292,28,14
41,NH,yes,100.0,100.0,0.0,0,100
43,KY,yes,0.0,0.0,0.0,0,0
45,NE,yes,0.0,0.0,0.0,0,0
47,NJ,yes,0.0,0.0,0.0,4,28
49,NY,yes,0.0,0.0,0.0,4,24
51,OH,yes,0.0,0.0,0.0,0,20
53,OR,yes,0.0,0.0,0.0,18,18
54,PA,yes,0.0,0.0,0.0,17,34
56,SC,yes,0.0,0.0,0.0,0,100
58,TN,yes,0.0,0.0,0.0,40,20
59,TX,yes,0.0,0.0,0.0,12,30
60,UT,yes,0.0,0.0,0.0,0,25
62,WY,yes,0.0,0.0,0.0,0,0
64,WA,yes,94.5945945945946,83.33333333333333,-11.261261261261268,8,27
65,WI,yes,100.0,16.216216216216218,-83.78378378378378,33,0
66,WV,yes,100.0,83.78378378378379,-16.21621621621621,0,100
42,DE,yes,0.0,0.0,0.0,0,0
44,MS,yes,0.0,0.0,0.0,0,0
46,NV,yes,0.0,0.0,0.0,0,0
48,NM,yes,0.0,0.0,0.0,0,0
50,ND,yes,0.0,0.0,0.0,0,0
52,OK,yes,0.0,0.0,0.0,0,0
55,RI,yes,0.0,0.0,0.0,0,0
57,SD,yes,0.0,0.0,0.0,0,0
61,VA,yes,0.0,0.0,0.0,25,62
