,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
0,AL,yes,100.0,100.0,0.0,100,0
1,AR,yes,100.0,100.0,0.0,25,0
3,AZ,yes,88.57142857142857,83.80952380952381,-4.761904761904759,13,23
5,CA,yes,87.05882352941177,87.05882352941177,0.0,21,23
6,CO,yes,100.0,100.0,0.0,40,40
7,CT,yes,100.0,100.0,0.0,0,0
8,DC,yes,100.0,100.0,0.0,25,75
10,DE,yes,50.0,50.0,0.0,0,50
12,FL,yes,71.42857142857143,64.28571428571429,-7.142857142857139,28,21
14,GA,yes,80.0,80.0,0.0,20,60
15,ID,yes,100.0,100.0,0.0,0,0
17,IL,yes,93.33333333333333,93.33333333333333,0.0,13,26
19,IN,yes,60.0,60.0,0.0,20,40
21,Invalid ZIP,yes,77.77777777777777,77.77777777777777,0.0,0,33
22,LA,yes,100.0,100.0,0.0,0,100
24,MA,yes,91.66666666666667,91.66666666666667,0.0,12,25
25,MD,yes,100.0,100.0,0.0,25,25
27,MI,yes,88.88888888888889,88.88888888888889,0.0,22,11
29,MN,yes,81.81818181818181,81.81818181818181,0.0,9,27
30,MO,yes,100.0,100.0,0.0,0,50
31,MT,yes,100.0,100.0,0.0,50,0
32,NC,yes,100.0,100.0,0.0,0,50
33,NE,yes,100.0,100.0,0.0,0,100
35,NJ,yes,87.5,81.25,-6.25,12,31
36,NM,yes,100.0,100.0,0.0,0,33
37,NV,yes,100.0,100.0,0.0,50,0
39,NY,yes,89.28571428571429,82.14285714285714,-7.142857142857153,3,10
41,HI,yes,0.0,0.0,0.0,0,0
42,IA,yes,0.0,0.0,0.0,0,0
44,KY,yes,0.0,0.0,0.0,0,0
46,MS,yes,0.0,0.0,0.0,0,0
47,NH,yes,0.0,0.0,0.0,0,0
48,ND,yes,0.0,0.0,0.0,0,0
50,OK,yes,0.0,0.0,0.0,0,0
51,OR,yes,0.0,0.0,0.0,0,63
53,RI,yes,0.0,0.0,0.0,0,0
54,SC,yes,0.0,0.0,0.0,50,0
55,SD,yes,0.0,0.0,0.0,0,0
56,TN,yes,0.0,0.0,0.0,33,33
57,TX,yes,0.0,0.0,0.0,12,25
40,AK,yes,0.0,0.0,0.0,0,0
43,KS,yes,0.0,0.0,0.0,0,0
45,ME,yes,0.0,0.0,0.0,0,0
49,OH,yes,0.0,0.0,0.0,16,0
52,PA,yes,0.0,0.0,0.0,16,33
58,UT,yes,0.0,0.0,0.0,0,25
59,VT,yes,0.0,0.0,0.0,0,50
60,VA,yes,0.0,0.0,0.0,28,28
61,WA,yes,0.0,0.0,0.0,13,43
62,WV,yes,0.0,0.0,0.0,0,0
63,WI,yes,0.0,0.0,0.0,0,60
64,WY,yes,0.0,0.0,0.0,0,0
