,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
1,AL,yes,43.47826086956522,30.434782608695652,-13.043478260869566,0,17
3,AR,yes,40.0,40.0,0.0,0,0
5,AZ,yes,48.51485148514851,44.554455445544555,-3.960396039603957,10,10
7,CA,yes,68.39378238341969,62.69430051813472,-5.699481865284973,19,21
9,CO,yes,55.63380281690141,44.36619718309859,-11.267605633802816,7,11
10,CT,yes,100.0,100.0,0.0,0,0
12,DC,yes,85.71428571428571,71.42857142857143,-14.285714285714278,14,28
14,FL,yes,47.142857142857146,41.42857142857143,-5.714285714285715,17,11
16,GA,yes,62.295081967213115,59.01639344262295,-3.278688524590166,9,13
18,IA,yes,75.0,50.0,-25.0,0,0
20,ID,yes,44.44444444444444,44.44444444444444,0.0,0,11
22,IL,yes,59.701492537313435,50.74626865671642,-8.955223880597018,13,14
24,IN,yes,36.36363636363637,27.272727272727273,-9.090909090909093,9,0
26,Invalid ZIP,yes,66.66666666666667,66.66666666666667,0.0,11,11
28,KS,yes,57.89473684210526,52.63157894736842,-5.2631578947368425,15,21
30,KY,yes,55.55555555555556,44.44444444444444,-11.111111111111114,0,0
32,LA,yes,64.86486486486487,51.351351351351354,-13.513513513513516,13,13
34,MA,yes,54.54545454545455,54.54545454545455,0.0,21,21
36,MD,yes,63.63636363636363,59.09090909090909,-4.54545454545454,13,11
38,ME,yes,50.0,50.0,0.0,0,16
40,MI,yes,58.208955223880594,53.73134328358209,-4.477611940298502,14,16
42,MN,yes,32.6530612244898,22.448979591836736,-10.204081632653061,4,6
44,MO,yes,71.7948717948718,58.97435897435897,-12.820512820512825,35,12
46,DE,yes,0.0,0.0,0.0,0,0
48,MS,yes,0.0,0.0,0.0,0,20
50,NE,yes,0.0,0.0,0.0,0,0
51,NC,yes,0.0,0.0,0.0,3,11
54,VT,yes,0.0,0.0,0.0,0,0
56,NJ,yes,56.0,44.0,-12.0,12,20
58,NM,yes,57.142857142857146,57.142857142857146,0.0,0,14
60,NV,yes,62.5,54.166666666666664,-8.333333333333336,12,20
62,NY,yes,55.10204081632653,46.93877551020408,-8.163265306122447,20,10
64,OH,yes,61.666666666666664,55.0,-6.666666666666664,11,13
66,OK,yes,66.66666666666667,33.333333333333336,-33.333333333333336,16,0
68,OR,yes,32.20338983050848,30.508474576271187,-1.6949152542372907,5,10
70,PA,yes,50.0,50.0,0.0,0,9
73,SC,yes,45.45454545454545,36.36363636363637,-9.090909090909086,18,0
74,SD,yes,100.0,100.0,0.0,0,50
76,TN,yes,26.31578947368421,15.789473684210526,-10.526315789473683,0,5
78,TX,yes,63.1578947368421,56.14035087719298,-7.017543859649123,18,15
80,UT,yes,53.333333333333336,46.666666666666664,-6.666666666666671,16,6
82,VA,yes,75.0,70.0,-5.0,35,15
84,WA,yes,34.78260869565217,30.434782608695652,-4.34782608695652,4,8
86,WI,yes,61.53846153846154,53.84615384615385,-7.692307692307693,0,15
88,WV,yes,58.333333333333336,41.666666666666664,-16.66666666666667,33,8
45,AK,yes,0.0,0.0,0.0,0,0
47,HI,yes,0.0,0.0,0.0,0,0
49,MT,yes,0.0,0.0,0.0,0,33
52,ND,yes,0.0,0.0,0.0,0,0
53,RI,yes,0.0,0.0,0.0,0,0
55,WY,yes,0.0,0.0,0.0,0,0
